RaceID;Nro;Nimi;Valmentaja;Current_Ohjastaja;Ika;Sukupuoli;Is_Suomenhevonen;Kengat_Etu;Kengat_Taka;Kengat_etu_changed;Kengat_taka_changed;Current_Special_Cart;Scratched;Current_Distance;Current_Is_Auto;Current_Start_Date;Peli_pros;Voitto_pros;Ennatys_nro;Is_Auto_Record;Hist_PVM;Ohjastaja;Rata;Matka;RataNro;Km_aika;Hist_kengat_etu;Hist_kengat_taka;Hist_Special_Cart;Hist_Is_Auto;Laukka;Hylatty;Keskeytys;Track_Condition;Hist_Sij;Kerroin;Palkinto;SIJOITUS
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;20.09.25;E Louko;Pp;2100;1;41.5;HAS_SHOES;HAS_SHOES;NO;0;0;0;0;unknown;4;NaN;100;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;27.10.25;E Louko;T;2180;3;38.4;HAS_SHOES;HAS_SHOES;NO;0;0;0;0;unknown;6;37.7;1100;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;16.11.25;J-M Paavola;S;2160;4;35.4;HAS_SHOES;HAS_SHOES;NO;0;0;0;0;unknown;4;51.2;700;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;23.11.25;J-M Paavola;Kt;2120;3;35.8;HAS_SHOES;HAS_SHOES;NO;0;0;0;0;unknown;2;7.9;800;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;03.12.25;E Louko;H;2180;3;35.5;HAS_SHOES;HAS_SHOES;NO;0;0;0;0;unknown;2;20.2;1500;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;12.01.26;S Raitala;S;2100;12;35.7;HAS_SHOES;HAS_SHOES;UNKNOWN;1;0;0;0;unknown;5;4.1;1300;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;20.01.26;E Louko;S;2140;3;0;HAS_SHOES;HAS_SHOES;NO;0;0;1;0;unknown;20;50.9;1000;0
3474517947;1;Ylinopeus;Elias Louko;Elias Louko;9;1;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;1.45;0;35.7;1;15.02.26;M Louko;Kt;2120;1;36.1;HAS_SHOES;HAS_SHOES;NO;0;1;0;0;unknown;9;23.5;800;0
3474517947;2;Rilon Reetu;Aimo Vuorisalo;Hannu Torvinen;5;2;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;14.25;0;34.9;1;09.08.25;Mik Pitkanen;Ph;2020;2;37.2;HAS_SHOES;HAS_SHOES;NO;0;1;0;0;unknown;2;NaN;200;0
3474517947;2;Rilon Reetu;Aimo Vuorisalo;Hannu Torvinen;5;2;1;HAS_SHOES;HAS_SHOES;0;0;NO;0;2100;0;2026-02-21;14.25;0;34.9;1;27.09.25;An Vetelainen;T;2140;2;34.7;HAS_SHOES;HAS_SHOES;NO;0;1;0;0;unknown;6;8.7;1500;0
